cid,bdate,gen,dwh_create_date
AW00015493,9/16/1979,Male,46:40.2
AW00015494,5/14/1974,Female,46:40.2
AW00015495,11/14/1972,Male,46:40.2
AW00015496,3/7/1973,Female,46:40.2
AW00015497,9/1/1972,Female,46:40.2
AW00015498,8/8/1975,Female,46:40.2
AW00015499,6/22/1976,Male,46:40.2
AW00015500,7/25/1975,Male,46:40.2
AW00015501,12/19/1975,Male,46:40.2
AW00015502,10/15/1978,Male,46:40.2
AW00015503,8/22/1978,Female,46:40.2
AW00015504,9/29/1972,Male,46:40.2
AW00015505,8/6/1972,Female,46:40.2
AW00015506,9/20/1982,Male,46:40.2
AW00015507,3/27/1972,Female,46:40.2
AW00015508,2/5/1972,Female,46:40.2
AW00015509,8/23/1971,Male,46:40.2
AW00015510,10/20/1977,Male,46:40.2
AW00015511,8/11/1974,Female,46:40.2
AW00015512,1/29/1975,Male,46:40.2
AW00015513,4/19/1975,Female,46:40.2
AW00015514,11/16/1974,Female,46:40.2
AW00015515,10/8/1974,Male,46:40.2
AW00015516,10/14/1980,Male,46:40.2
AW00015517,1/19/1980,Male,46:40.2
AW00015518,3/12/1975,Male,46:40.2
AW00015519,5/10/1927,Female,46:40.2
AW00015520,12/17/1970,Female,46:40.2
AW00015521,5/21/1976,Female,46:40.2
AW00015522,9/3/1976,Male,46:40.2
AW00015523,8/7/1969,Male,46:40.2
AW00015524,9/12/1975,Male,46:40.2
AW00015525,2/8/1975,Female,46:40.2
AW00015526,12/17/1969,Female,46:40.2
AW00015527,10/6/1969,Female,46:40.2
AW00015528,10/1/1979,Male,46:40.2
AW00015529,1/1/1969,Male,46:40.2
AW00015530,9/30/1968,Female,46:40.2
AW00015531,12/11/1968,Male,46:40.2
AW00015532,8/3/1968,Male,46:40.2
AW00015533,9/6/1979,Female,46:40.2
AW00015534,3/21/1969,Male,46:40.2
AW00015535,4/30/1969,Male,46:40.2
AW00015536,8/9/1974,Female,46:40.2
AW00015537,7/22/1968,Female,46:40.2
AW00015538,2/24/1969,Male,46:40.2
AW00015539,7/23/1967,Male,46:40.2
AW00015540,4/4/1973,Male,46:40.2
AW00015541,10/5/1967,Female,46:40.2
AW00015542,4/18/1973,Female,46:40.2
AW00015543,9/23/1967,Female,46:40.2
AW00015544,6/12/1968,Male,46:40.2
AW00015545,2/7/1972,Female,46:40.2
AW00015546,11/18/1966,Male,46:40.2
AW00015547,4/5/1967,Female,46:40.2
AW00015548,3/12/1966,Female,46:40.2
AW00015549,12/3/1972,Male,46:40.2
AW00015550,5/17/1978,Male,46:40.2
AW00015551,1/2/1973,Female,46:40.2
AW00015552,12/28/1972,Male,46:40.2
AW00015553,12/8/1972,Male,46:40.2
AW00015554,3/1/1973,Female,46:40.2
AW00015555,4/22/1966,Female,46:40.2
AW00015556,11/8/1976,Male,46:40.2
AW00015557,2/11/1966,Male,46:40.2
AW00015558,9/29/1965,Female,46:40.2
AW00015559,5/22/1970,Male,46:40.2
AW00015560,9/17/1964,Female,46:40.2
AW00015561,1/24/1970,Male,46:40.2
AW00015562,4/15/1976,Female,46:40.2
AW00015563,7/10/1970,Male,46:40.2
AW00015564,2/21/1970,Male,46:40.2
AW00015565,8/6/1964,Male,46:40.2
AW00015566,9/21/1970,Male,46:40.2
AW00015567,12/21/1964,Female,46:40.2
AW00015568,7/11/1963,Male,46:40.2
AW00015569,8/22/1974,Female,46:40.2
AW00015570,2/5/1975,Female,46:40.2
AW00015571,3/6/1975,Male,46:40.2
AW00015572,9/16/1963,Female,46:40.2
AW00015573,8/21/1969,Male,46:40.2
AW00015574,1/17/1969,Male,46:40.2
AW00015575,1/6/1985,Male,46:40.2
AW00015576,3/18/1976,Female,46:40.2
AW00015577,8/25/1975,Female,46:40.2
AW00015578,8/16/1981,Female,46:40.2
AW00015579,7/4/1973,Female,46:40.2
AW00015580,2/20/1979,Male,46:40.2
AW00015581,10/25/1973,Female,46:40.2
AW00015582,1/18/1974,Male,46:40.2
AW00015583,3/28/1974,Female,46:40.2
AW00015584,10/14/1972,Female,46:40.2
AW00015585,3/5/1978,Male,46:40.2
AW00015586,2/24/1975,Male,46:40.2
AW00015587,10/10/1980,Female,46:40.2
AW00015588,7/3/1980,Female,46:40.2
AW00015589,10/13/1974,Male,46:40.2
AW00015590,9/24/1974,Male,46:40.2
AW00015591,3/22/1975,Male,46:40.2
AW00015592,10/1/1983,Female,46:40.2
AW00015593,3/18/1973,Female,46:40.2
AW00015594,3/5/1978,Female,46:40.2
AW00015595,8/5/1971,Male,46:40.2
AW00015596,7/2/1971,Male,46:40.2
AW00015597,8/6/1971,Male,46:40.2
AW00015598,4/20/1971,Female,46:40.2
AW00015599,11/18/1970,Male,46:40.2
AW00015600,5/2/1974,Male,46:40.2
AW00015601,8/9/1979,Female,46:40.2
AW00015602,1/14/1979,Male,46:40.2
AW00015603,9/2/1975,Male,46:40.2
AW00015604,6/13/1970,Male,46:40.2
AW00015605,2/21/1970,Male,46:40.2
AW00015606,6/10/1970,Male,46:40.2
AW00015607,9/19/1975,Male,46:40.2
AW00015608,5/10/1984,Female,46:40.2
AW00015609,8/11/1985,Male,46:40.2
AW00015610,4/11/1986,Female,46:40.2
AW00015611,2/8/1984,Female,46:40.2
AW00015612,10/5/1983,Male,46:40.2
AW00015613,3/14/1984,Female,46:40.2
AW00015614,5/13/1980,Female,46:40.2
AW00015615,8/12/1984,Female,46:40.2
AW00015616,5/14/1984,Female,46:40.2
AW00015617,8/2/1984,Female,46:40.2
AW00015618,8/26/1978,Male,46:40.2
AW00015619,9/23/1978,Male,46:40.2
AW00015620,11/16/1978,Female,46:40.2
AW00015621,3/26/1979,Female,46:40.2
AW00015622,4/14/1978,Male,46:40.2
AW00015623,4/10/1978,Female,46:40.2
AW00015624,8/8/1983,Male,46:40.2
AW00015625,4/16/1978,Male,46:40.2
AW00015626,7/20/1983,Male,46:40.2
AW00015627,6/23/1978,Male,46:40.2
AW00015628,4/10/1922,Female,46:40.2
AW00015629,3/31/1977,Female,46:40.2
AW00015630,10/30/1976,Female,46:40.2
AW00015631,5/11/1977,Male,46:40.2
AW00015632,7/8/1976,Female,46:40.2
AW00015633,2/8/1977,Female,46:40.2
AW00015634,5/23/1982,Male,46:40.2
AW00015635,2/20/1977,Female,46:40.2
AW00015636,11/22/1975,Male,46:40.2
AW00015637,1/19/1977,Male,46:40.2
AW00015638,1/23/1947,Female,46:40.2
AW00015639,8/30/1985,Female,46:40.2
AW00015640,10/14/1985,Male,46:40.2
AW00015641,11/1/1983,Male,46:40.2
AW00015642,2/21/1983,Female,46:40.2
AW00015643,3/20/1983,Male,46:40.2
AW00015644,2/16/1985,Female,46:40.2
AW00015645,9/8/1984,Male,46:40.2
AW00015646,5/2/1984,Female,46:40.2
AW00015647,5/19/1984,Female,46:40.2
AW00015648,3/3/1984,Male,46:40.2
AW00015649,4/7/1954,Female,46:40.2
AW00015650,1/31/1972,Male,46:40.2
AW00015651,7/9/1972,Female,46:40.2
AW00015652,11/22/1966,Female,46:40.2
AW00015653,12/1/1977,Male,46:40.2
AW00015654,9/9/1965,Male,46:40.2
AW00015655,10/30/1971,Female,46:40.2
AW00015656,12/13/1965,Male,46:40.2
AW00015657,12/18/1965,Male,46:40.2
AW00015658,2/12/1965,Female,46:40.2
AW00015659,8/13/1964,Female,46:40.2
AW00015660,3/1/1965,Female,46:40.2
AW00015661,2/16/1965,Male,46:40.2
AW00015662,11/21/1965,Female,46:40.2
AW00015663,1/5/1965,Female,46:40.2
AW00015664,4/22/1970,Female,46:40.2
AW00015665,1/2/1965,Female,46:40.2
AW00015666,10/18/1981,Female,46:40.2
AW00015667,3/16/1976,Male,46:40.2
AW00015668,2/23/1981,Male,46:40.2
AW00015669,4/20/1981,Female,46:40.2
AW00015670,1/31/1975,Male,46:40.2
AW00015671,11/24/1974,Male,46:40.2
AW00015672,7/19/1974,Male,46:40.2
AW00015673,6/4/1980,Male,46:40.2
AW00015674,1/5/1975,Male,46:40.2
AW00015675,4/15/1975,Male,46:40.2
AW00015676,10/5/1974,Male,46:40.2
AW00015677,2/8/1975,Female,46:40.2
AW00015678,6/4/1980,Female,46:40.2
AW00015679,3/10/1958,Male,46:40.2
AW00015680,9/5/1956,Female,46:40.2
AW00015681,2/7/1960,Female,46:40.2
AW00015682,11/18/1949,Female,46:40.2
AW00015683,12/20/1949,Female,46:40.2
AW00015684,7/7/1955,Male,46:40.2
AW00015685,12/7/1949,Female,46:40.2
AW00015686,12/31/1949,Male,46:40.2
AW00015687,12/16/1950,Male,46:40.2
AW00015688,11/4/1950,Male,46:40.2
AW00015689,7/6/1950,Female,46:40.2
AW00015690,12/10/1951,Male,46:40.2
AW00015691,12/15/1959,Male,46:40.2
AW00015692,10/12/1959,Male,46:40.2
AW00015693,1/16/1960,Female,46:40.2
AW00015694,1/18/1959,Female,46:40.2
AW00015695,12/16/1959,Male,46:40.2
AW00015696,12/3/1958,Male,46:40.2
AW00015697,1/3/1959,Female,46:40.2
AW00015698,8/31/1958,Female,46:40.2
AW00015699,3/11/1959,Male,46:40.2
AW00015700,5/19/1958,Male,46:40.2
AW00015701,3/27/1958,Female,46:40.2
AW00015702,2/15/1958,Female,46:40.2
AW00015703,5/2/1962,Female,46:40.2
AW00015704,9/10/1956,Male,46:40.2
AW00015705,9/19/1955,Male,46:40.2
AW00015706,5/25/1955,Female,46:40.2
AW00015707,9/11/1960,Female,46:40.2
AW00015708,7/17/1960,Female,46:40.2
AW00015709,8/31/1959,Female,46:40.2
AW00015710,7/22/1953,Female,46:40.2
AW00015711,12/30/1953,Male,46:40.2
AW00015712,6/4/1954,Female,46:40.2
AW00015713,12/7/1953,Female,46:40.2
AW00015714,3/16/1953,Female,46:40.2
AW00015715,12/17/1980,Female,46:40.2
AW00015716,12/17/1980,Male,46:40.2
AW00015717,11/23/1981,Female,46:40.2
AW00015718,10/13/1981,Female,46:40.2
AW00015719,1/10/1982,Female,46:40.2
AW00015720,1/23/1980,Female,46:40.2
AW00015721,8/11/1985,Female,46:40.2
AW00015722,5/25/1980,Female,46:40.2
AW00015723,3/14/1985,Female,46:40.2
AW00015724,10/30/1979,Male,46:40.2
AW00015725,1/15/1979,Male,46:40.2
AW00015726,8/27/1978,Female,46:40.2
AW00015727,10/31/1977,Female,46:40.2
AW00015728,1/31/1979,Male,46:40.2
AW00015729,9/21/1983,Female,46:40.2
AW00015730,8/18/1977,Male,46:40.2
AW00015731,9/16/1976,Male,46:40.2
AW00015732,5/25/1983,Female,46:40.2
AW00015733,9/22/1977,Female,46:40.2
AW00015734,1/8/1976,Female,46:40.2
AW00015735,10/30/1975,Female,46:40.2
AW00015736,12/11/1946,Female,46:40.2
AW00015737,10/2/1946,Male,46:40.2
AW00015738,1/20/1947,Female,46:40.2
AW00015739,6/14/1948,Male,46:40.2
AW00015740,10/9/1947,Male,46:40.2
AW00015741,4/9/1948,Female,46:40.2
AW00015742,5/6/1948,Female,46:40.2
AW00015743,2/14/1953,Female,46:40.2
AW00015744,9/19/1947,Female,46:40.2
AW00015745,2/12/1948,Male,46:40.2
AW00015746,5/31/1949,Female,46:40.2
AW00015747,8/24/1949,Male,46:40.2
AW00015748,12/7/1949,Male,46:40.2
AW00015749,4/24/1950,Female,46:40.2
AW00015750,10/16/1984,Female,46:40.2
AW00015751,2/21/1966,Female,46:40.2
AW00015752,3/31/1961,Male,46:40.2
AW00015753,6/21/1962,Female,46:40.2
AW00015754,12/21/1961,Female,46:40.2
AW00015755,1/22/1967,Male,46:40.2
AW00015756,1/1/1974,Female,46:40.2
AW00015757,1/7/1963,Male,46:40.2
AW00015758,5/22/1969,Male,46:40.2
AW00015759,5/7/1979,Female,46:40.2
AW00015760,11/1/1979,Male,46:40.2
AW00015761,4/16/1980,Male,46:40.2
AW00015762,11/5/1979,Male,46:40.2
AW00015763,1/22/1980,Male,46:40.2
AW00015764,12/12/1964,Male,46:40.2
AW00015765,4/16/1965,Male,46:40.2
AW00015766,2/12/1965,Female,46:40.2
AW00015767,5/20/1970,Male,46:40.2
AW00015768,5/25/1972,Female,46:40.2
AW00015769,11/6/1971,Female,46:40.2
AW00015770,4/6/1983,Male,46:40.2
AW00015771,7/23/1963,Female,46:40.2
AW00015772,3/9/1968,Male,46:40.2
AW00015773,4/2/1963,Male,46:40.2
AW00015774,2/24/1968,Female,46:40.2
AW00015775,12/13/1979,Female,46:40.2
AW00015776,9/6/1979,Male,46:40.2
AW00015777,1/18/1968,Female,46:40.2
AW00015778,11/7/1962,Male,46:40.2
AW00015779,8/14/1973,Male,46:40.2
AW00015780,5/10/1968,Female,46:40.2
AW00015781,9/30/1962,Male,46:40.2
AW00015782,11/19/1968,Female,46:40.2
AW00015783,1/7/1973,Male,46:40.2
AW00015784,3/3/1973,Female,46:40.2
AW00015785,10/24/1967,Male,46:40.2
AW00015786,5/2/1968,Male,46:40.2
AW00015787,11/18/1966,Female,46:40.2
AW00015788,9/15/1971,Female,46:40.2
AW00015789,2/12/1972,Female,46:40.2
AW00015790,12/13/1965,Male,46:40.2
AW00015791,3/20/1966,Female,46:40.2
AW00015792,8/5/1976,Male,46:40.2
AW00015793,4/8/1976,Female,46:40.2
AW00015794,12/15/1981,Female,46:40.2
AW00015795,7/16/1970,Female,46:40.2
AW00015796,11/8/1970,Male,46:40.2
AW00015797,9/25/1970,Male,46:40.2
AW00015798,3/19/1970,Female,46:40.2
AW00015799,7/11/1964,Female,46:40.2
AW00015800,12/7/1970,Male,46:40.2
AW00015801,5/12/1969,Female,46:40.2
AW00015802,10/18/1979,Female,46:40.2
AW00015803,4/16/1968,Male,46:40.2
AW00015804,2/17/1968,Female,46:40.2
AW00015805,8/30/1967,Female,46:40.2
AW00015806,1/2/1973,Male,46:40.2
AW00015807,10/29/1972,Male,46:40.2
AW00015808,7/19/1966,Female,46:40.2
AW00015809,3/15/1966,Male,46:40.2
AW00015810,9/3/1971,Female,46:40.2
AW00015811,5/2/1971,Male,46:40.2
AW00015812,10/7/1964,Male,46:40.2
AW00015813,1/30/1982,Male,46:40.2
AW00015814,10/14/1981,Female,46:40.2
AW00015815,7/24/1980,Female,46:40.2
AW00015816,11/17/1981,Female,46:40.2
AW00015817,1/5/1982,Female,46:40.2
AW00015818,1/16/1982,Male,46:40.2
AW00015819,3/15/1986,Female,46:40.2
AW00015820,4/1/1986,Male,46:40.2
AW00015821,6/25/1986,Male,46:40.2
AW00015822,4/17/1944,Male,46:40.2
AW00015823,3/23/1944,Female,46:40.2
AW00015824,11/30/1982,Female,46:40.2
AW00015825,12/2/1981,Female,46:40.2
AW00015826,7/8/1984,Female,46:40.2
AW00015827,11/3/1984,Female,46:40.2
AW00015828,5/20/1945,Female,46:40.2
AW00015829,11/13/1944,Male,46:40.2
AW00015830,8/13/1945,Female,46:40.2
AW00015831,8/13/1945,Male,46:40.2
AW00015832,10/2/1946,Male,46:40.2
AW00015833,9/20/1948,Female,46:40.2
AW00015834,9/22/1981,Female,46:40.2
AW00015835,10/25/1981,Male,46:40.2
AW00015836,10/13/1981,Male,46:40.2
AW00015837,4/19/1981,Female,46:40.2
AW00015838,2/13/1985,Female,46:40.2
AW00015839,11/18/1979,Male,46:40.2
AW00015840,8/25/1977,Female,46:40.2
AW00015841,5/11/1983,Male,46:40.2
AW00015842,1/9/1983,Female,46:40.2
AW00015843,5/2/1974,Male,46:40.2
AW00015844,6/24/1974,Female,46:40.2
AW00015845,6/17/1974,Female,46:40.2
AW00015846,9/6/1979,Male,46:40.2
AW00015847,5/10/1979,Male,46:40.2
AW00015848,8/24/1979,Female,46:40.2
AW00015849,8/29/1972,Female,46:40.2
AW00015850,10/4/1978,Female,46:40.2
AW00015851,12/18/1972,Female,46:40.2
AW00015852,8/22/1978,Male,46:40.2
AW00015853,8/21/1972,Female,46:40.2
AW00015854,2/24/1973,Female,46:40.2
AW00015855,10/14/1968,Male,46:40.2
AW00015856,8/2/1973,Male,46:40.2
AW00015857,12/3/1964,Female,46:40.2
AW00015858,12/12/1964,Male,46:40.2
AW00015859,9/1/1964,Female,46:40.2
AW00015860,4/19/1978,Male,46:40.2
AW00015861,11/23/1977,Male,46:40.2
AW00015862,6/6/1978,Female,46:40.2
AW00015863,1/31/1979,Male,46:40.2
AW00015864,10/16/1984,Female,46:40.2
AW00015865,10/11/1976,Female,46:40.2
AW00015866,12/30/1981,Female,46:40.2
AW00015867,8/7/1976,Female,46:40.2
AW00015868,12/10/1976,Male,46:40.2
AW00015869,6/20/1977,Female,46:40.2
AW00015870,11/29/1976,Female,46:40.2
AW00015871,6/22/1977,Male,46:40.2
AW00015872,9/29/1983,Female,46:40.2
AW00015873,10/16/1983,Female,46:40.2
AW00015874,12/10/1949,Male,46:40.2
AW00015875,8/16/1949,Male,46:40.2
AW00015876,4/17/1950,Male,46:40.2
AW00015877,10/7/1956,Male,46:40.2
AW00015878,10/21/1950,Male,46:40.2
AW00015879,11/18/1950,Male,46:40.2
AW00015880,5/13/1951,Male,46:40.2
AW00015881,2/17/1951,Female,46:40.2
AW00015882,5/1/1951,Male,46:40.2
AW00015883,5/13/1951,Male,46:40.2
AW00015884,1/4/1951,Male,46:40.2
AW00015885,11/15/1951,Male,46:40.2
AW00015886,10/16/1951,Male,46:40.2
AW00015887,2/9/1952,Female,46:40.2
AW00015888,11/2/1951,Female,46:40.2
AW00015889,5/17/1952,Male,46:40.2
AW00015890,8/26/1952,Male,46:40.2
AW00015891,12/8/1952,Male,46:40.2
AW00015892,7/5/1964,Female,46:40.2
AW00015893,5/15/1954,Female,46:40.2
AW00015894,5/6/1970,Female,46:40.2
AW00015895,5/6/1970,Female,46:40.2
AW00015896,12/15/1953,Male,46:40.2
AW00015897,9/14/1953,Female,46:40.2
AW00015898,10/29/1954,Male,46:40.2
AW00015899,12/29/1954,Male,46:40.2
AW00015900,3/24/1961,Male,46:40.2
AW00015901,8/27/1955,Female,46:40.2
AW00015902,10/23/1955,Male,46:40.2
AW00015903,1/6/1956,Female,46:40.2
AW00015904,7/25/1955,Female,46:40.2
AW00015905,10/15/1956,Female,46:40.2
AW00015906,9/2/1956,Female,46:40.2
AW00015907,10/15/1956,Male,46:40.2
AW00015908,9/12/1973,Male,46:40.2
AW00015909,3/6/1957,Female,46:40.2
AW00015910,12/5/1956,Male,46:40.2
AW00015911,4/23/1963,Female,46:40.2
AW00015912,9/4/1957,Female,46:40.2
AW00015913,12/14/1957,Male,46:40.2
AW00015914,8/19/1963,Male,46:40.2
AW00015915,1/8/1958,Male,46:40.2
AW00015916,1/11/1958,Male,46:40.2
AW00015917,3/20/1958,Female,46:40.2
AW00015918,8/2/1957,Male,46:40.2
AW00015919,11/4/1963,Female,46:40.2
AW00015920,2/11/1963,Male,46:40.2
AW00015921,11/22/1968,Male,46:40.2
AW00015922,10/12/1968,Male,46:40.2
AW00015923,10/4/1967,Male,46:40.2
AW00015924,12/18/1961,Male,46:40.2
AW00015925,12/25/1961,Male,46:40.2
AW00015926,8/11/1961,Female,46:40.2
AW00015927,6/3/1962,Male,46:40.2
AW00015928,11/5/1961,Female,46:40.2
AW00015929,2/7/1962,Female,46:40.2
AW00015930,9/29/1960,Female,46:40.2
AW00015931,7/7/1960,Male,46:40.2
AW00015932,3/10/1961,Female,46:40.2
AW00015933,1/30/1966,Male,46:40.2
AW00015934,9/25/1961,Female,46:40.2
AW00015935,10/24/1944,Female,46:40.2
AW00015936,1/12/1939,Female,46:40.2
AW00015937,11/9/1970,Female,46:40.2
AW00015938,7/5/1976,Male,46:40.2
AW00015939,8/11/1970,Female,46:40.2
AW00015940,5/27/1971,Male,46:40.2
AW00015941,8/26/1970,Female,46:40.2
AW00015942,8/6/1975,Male,46:40.2
AW00015943,7/17/1969,Male,46:40.2
AW00015944,11/9/1969,Male,46:40.2
AW00015945,6/21/1975,Female,46:40.2
AW00015946,1/17/1970,Male,46:40.2
AW00015947,4/11/1970,Female,46:40.2
AW00015948,5/20/1970,Female,46:40.2
AW00015949,9/7/1975,Female,46:40.2
AW00015950,7/14/1961,Female,46:40.2
AW00015951,4/12/1962,Female,46:40.2
AW00015952,12/18/1961,Male,46:40.2
AW00015953,10/9/1939,Male,46:40.2
AW00015954,2/20/1980,Male,46:40.2
AW00015955,11/13/1974,Male,46:40.2
AW00015956,5/13/1974,Male,46:40.2
AW00015957,5/14/1969,Male,46:40.2
AW00015958,10/4/1967,Female,46:40.2
AW00015959,8/30/1967,Male,46:40.2
AW00015960,4/6/1968,Female,46:40.2
AW00015961,10/17/1978,Female,46:40.2
AW00015962,1/8/1972,Male,46:40.2
AW00015963,1/30/1978,Female,46:40.2
AW00015964,9/29/1972,Male,46:40.2
AW00015965,12/16/1966,Female,46:40.2
AW00015966,2/11/1961,Female,46:40.2
AW00015967,12/13/1960,Male,46:40.2
AW00015968,4/17/1966,Male,46:40.2
AW00015969,5/24/1977,Male,46:40.2
AW00015970,9/2/1965,Male,46:40.2
AW00015971,2/22/1941,Male,46:40.2
AW00015972,3/31/1941,Female,46:40.2
AW00015973,5/23/1942,Male,46:40.2
AW00015974,12/10/1965,Male,46:40.2
AW00015975,9/21/1971,Female,46:40.2
AW00015976,11/21/1965,Male,46:40.2
AW00015977,9/12/1965,Female,46:40.2
AW00015978,5/18/1966,Male,46:40.2
AW00015979,12/12/1965,Female,46:40.2
AW00015980,11/19/1965,Female,46:40.2
AW00015981,9/11/1965,Male,46:40.2
AW00015982,11/19/1965,Male,46:40.2
AW00015983,3/15/1966,Female,46:40.2
AW00015984,12/20/1965,Male,46:40.2
AW00015985,12/16/1965,Male,46:40.2
AW00015986,3/10/1960,Male,46:40.2
AW00015987,3/21/1971,Female,46:40.2
AW00015988,11/9/1959,Male,46:40.2
AW00015989,11/15/1965,Female,46:40.2
AW00015990,5/21/1964,Male,46:40.2
AW00015991,7/19/1958,Male,46:40.2
AW00015992,10/20/1958,Female,46:40.2
AW00015993,11/19/1958,Male,46:40.2
AW00015994,5/1/1958,Female,46:40.2
AW00015995,11/23/1957,Female,46:40.2
AW00015996,2/23/1963,Female,46:40.2
AW00015997,9/7/1948,Female,46:40.2
AW00015998,11/6/1942,Female,46:40.2
AW00015999,1/20/1943,Female,46:40.2
AW00016000,3/27/1943,Female,46:40.2
AW00016001,4/24/1943,Male,46:40.2
AW00016002,8/10/1942,Female,46:40.2
AW00016003,4/26/1943,Female,46:40.2
AW00016004,5/18/1944,Male,46:40.2
AW00016005,4/5/1944,Male,46:40.2
AW00016006,1/11/1944,Female,46:40.2
AW00016007,3/30/1945,Female,46:40.2
AW00016008,1/12/1945,Female,46:40.2
AW00016009,3/14/1945,Male,46:40.2
AW00016010,8/13/1945,Female,46:40.2
AW00016011,3/6/1946,Female,46:40.2
AW00016012,1/29/1974,Female,46:40.2
AW00016013,1/18/1974,Male,46:40.2
AW00016014,3/5/1979,Male,46:40.2
AW00016015,8/2/1984,Female,46:40.2
AW00016016,2/9/1950,Male,46:40.2
AW00016017,11/8/1984,Male,46:40.2
AW00016018,10/29/1984,Female,46:40.2
AW00016019,8/1/1984,Female,46:40.2
AW00016020,2/23/1984,Male,46:40.2
AW00016021,4/24/1984,Female,46:40.2
AW00016022,1/17/1984,Male,46:40.2
AW00016023,1/13/1953,Male,46:40.2
AW00016024,2/14/1984,Male,46:40.2
AW00016025,9/4/1950,Male,46:40.2
AW00016026,1/7/1952,Male,46:40.2
AW00016027,8/11/1957,Female,46:40.2
AW00016028,7/28/1951,Male,46:40.2
AW00016029,5/7/1952,Female,46:40.2
AW00016030,11/17/1952,Male,46:40.2
AW00016031,4/8/1953,Male,46:40.2
AW00016032,1/11/1959,Male,46:40.2
AW00016033,4/13/1977,Female,46:40.2
AW00016034,6/9/1968,Female,46:40.2
AW00016035,12/12/1978,Male,46:40.2
AW00016036,6/2/1967,Female,46:40.2
AW00016037,11/5/1966,Female,46:40.2
AW00016038,1/2/1978,Male,46:40.2
AW00016039,11/3/1966,Male,46:40.2
AW00016040,4/2/1979,Male,46:40.2
AW00016041,11/5/1966,Male,46:40.2
AW00016042,1/18/1942,Male,46:40.2
AW00016043,3/5/1980,Male,46:40.2
AW00016044,3/8/1964,Female,46:40.2
AW00016045,6/30/1969,Female,46:40.2
AW00016046,8/16/1969,Female,46:40.2
AW00016047,7/5/1968,Female,46:40.2
AW00016048,5/4/1979,Female,46:40.2
AW00016049,5/8/1968,Female,46:40.2
AW00016050,9/8/1962,Male,46:40.2
AW00016051,3/14/1973,Male,46:40.2
AW00016052,5/6/1962,Male,46:40.2
AW00016053,6/15/1967,Male,46:40.2
AW00016054,12/17/1961,Male,46:40.2
AW00016055,6/17/1961,Male,46:40.2
AW00016056,9/17/1966,Female,46:40.2
AW00016057,12/10/1966,Female,46:40.2
AW00016058,5/31/1965,Female,46:40.2
AW00016059,4/9/1944,Male,46:40.2
AW00016060,4/25/1976,Male,46:40.2
AW00016061,7/2/1981,Male,46:40.2
AW00016062,6/5/1981,Female,46:40.2
AW00016063,7/12/1981,Male,46:40.2
AW00016064,8/29/1974,Female,46:40.2
AW00016065,1/18/1975,Female,46:40.2
AW00016066,7/19/1980,Male,46:40.2
AW00016067,4/16/1980,Female,46:40.2
AW00016068,8/31/1974,Male,46:40.2
AW00016069,3/4/1975,Female,46:40.2
AW00016070,6/21/1975,Female,46:40.2
AW00016071,7/9/1976,Female,46:40.2
AW00016072,10/8/1982,Male,46:40.2
AW00016073,6/10/1977,Female,46:40.2
AW00016074,5/11/1977,Male,46:40.2
AW00016075,1/22/1977,Female,46:40.2
AW00016076,6/12/1982,Female,46:40.2
AW00016077,5/28/1982,Female,46:40.2
AW00016078,3/5/1977,Female,46:40.2
AW00016079,3/6/1977,Female,46:40.2
AW00016080,1/29/1974,Male,46:40.2
AW00016081,9/18/1973,Male,46:40.2
AW00016082,5/19/1979,Female,46:40.2
AW00016083,12/30/1972,Female,46:40.2
AW00016084,5/16/1973,Female,46:40.2
AW00016085,7/10/1975,Male,46:40.2
AW00016086,11/8/1975,Male,46:40.2
AW00016087,12/11/1975,Male,46:40.2
AW00016088,1/6/1973,Male,46:40.2
AW00016089,1/30/1973,Male,46:40.2
AW00016090,12/31/1972,Female,46:40.2
AW00016091,10/19/1983,Female,46:40.2
AW00016092,7/2/1971,Female,46:40.2
AW00016093,8/30/1971,Female,46:40.2
AW00016094,11/8/1977,Female,46:40.2
AW00016095,8/11/1971,Male,46:40.2
AW00016096,7/25/1974,Male,46:40.2
AW00016097,5/5/1975,Female,46:40.2
AW00016098,3/6/1975,Female,46:40.2
AW00016099,8/5/1980,Male,46:40.2
AW00016100,3/30/1980,Male,46:40.2
AW00016101,3/19/1975,Female,46:40.2
AW00016102,2/11/1971,Male,46:40.2
AW00016103,4/6/1982,Female,46:40.2
AW00016104,5/4/1971,Female,46:40.2
AW00016105,8/4/1970,Female,46:40.2
AW00016106,9/18/1970,Male,46:40.2
AW00016107,10/14/1980,Female,46:40.2
AW00016108,6/21/1975,Male,46:40.2
AW00016109,1/2/1970,Male,46:40.2
AW00016110,12/29/1969,Male,46:40.2
AW00016111,2/2/1980,Female,46:40.2
AW00016112,9/1/1968,Male,46:40.2
AW00016113,8/9/1979,Male,46:40.2
AW00016114,9/10/1968,Male,46:40.2
AW00016115,12/11/1973,Female,46:40.2
AW00016116,12/4/1973,Male,46:40.2
AW00016117,5/1/1968,Male,46:40.2
AW00016118,3/2/1968,Male,46:40.2
AW00016119,3/12/1967,Female,46:40.2
AW00016120,10/8/1977,Male,46:40.2
AW00016121,11/1/1966,Female,46:40.2
AW00016122,6/15/1967,Male,46:40.2
AW00016123,1/5/1967,Female,46:40.2
AW00016124,5/3/1967,Male,46:40.2
AW00016125,9/3/1966,Female,46:40.2
AW00016126,1/14/1967,Female,46:40.2
AW00016127,3/10/1983,Female,46:40.2
